"ArchipThreat" "Archip" "Threat" "Nb_sp_thr" "Perc_sp_thr" "PD" "FRic"
"PNG_Cu" "Papua New Guinea" "Cultivation" 34 3.4 0.118282606518345 0.17518
"PNG_EPM" "Papua New Guinea" "Energy production & mining" 6 0.6 0.0682199437230411 0.025114
"PNG_WI" "Papua New Guinea" "Wildlife exploitation" 38 3.8 0.111575162047512 0.120625
"PNG_Ur" "Papua New Guinea" "Urbanization" 11 1.1 0.0766911523407252 0.036371
"MIOI_Cu" "Madagascar and the Indian Ocean Islands" "Cultivation" 78 7.8 0.11377566015106 0.347675
"MIOI_HM" "Madagascar and the Indian Ocean Islands" "Habitat modifications" 34 3.4 0.0781116040726613 0.171325
"MIOI_WI" "Madagascar and the Indian Ocean Islands" "Wildlife exploitation" 72 7.2 0.101764159879882 0.271688
"MIOI_EPM" "Madagascar and the Indian Ocean Islands" "Energy production & mining" 21 2.1 0.0426539979253483 0.029346
"MIOI_Po" "Madagascar and the Indian Ocean Islands" "Pollution" 2 0.2 0.0274492697892943 NA
"MIOI_Ur" "Madagascar and the Indian Ocean Islands" "Urbanization" 4 0.4 0.0276862017873787 NA
"MGI_WI" "Mesoamerica and Galapagos Islands" "Wildlife exploitation" 3 0.3 0.0338779446340321 NA
"MGI_Ur" "Mesoamerica and Galapagos Islands" "Urbanization" 4 0.4 0.0422407967727648 NA
"CrI_WI" "Caribbean Islands" "Wildlife exploitation" 9 0.9 0.0359644632917817 0.014158
"CrI_BI" "Caribbean Islands" "Biological invasions" 11 1.1 0.0412485481132864 0.059482
"CrI_Cu" "Caribbean Islands" "Cultivation" 4 0.4 0.0282587229699958 NA
"Ja_Cu" "Japan" "Cultivation" 7 0.7 0.0487336755242316 0.001254
"GGI_Ur" "Gulf of Guinea Islands" "Urbanization" 2 0.2 0.0257988833419828 NA
"GGI_WI" "Gulf of Guinea Islands" "Wildlife exploitation" 5 0.5 0.0430893708307098 0.005782
"GGI_Cu" "Gulf of Guinea Islands" "Cultivation" 5 0.5 0.0430893708307098 0.005782
"Su_HM" "Sundaland" "Habitat modifications" 15 1.5 0.0688205410588385 0.087557
"Su_Cu" "Sundaland" "Cultivation" 53 5.3 0.137446652002483 0.303108
"Su_WI" "Sundaland" "Wildlife exploitation" 58 5.8 0.155443896205015 0.339514
"IB_GE" "Indo-Burma" "Geological events" 3 0.3 0.0206408276392156 NA
